GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Innlevering: Client,no.kristiania.pgr200.http,HttpClient.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Innlevering: Client,no.kristiania.pgr200.http,HttpClient.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
Innlevering: Client,no.kristiania.pgr200.http,HttpClient,133,3,0,0,30,1,5,1,5,1
Innlevering: Client,no.kristiania.pgr200.cli,ConferenceClient,487,0,31,0,146,0,36,0,16,0
